log,exito,t_meta_s,long_planificada_m,long_ejecutada_m,err_ruta_medio_m,err_ruta_max_m,casi_colisiones,giros_innecesarios,err_odom_medio_m,err_odom_max_m,err_phi_medio_rad,std_ir_cruda,std_ir_filtrada,std_dist_kalman_m,fuente_trayectoria
log_simple_20260613_220459.csv,1,71.936,1.3196618134108906,3.1947797056110034,2.025002300605645,2.2284262962613326,12,3,1.25607092116848,1.7695182933954086,0.6527256560427803,74.81162948956006,61.68194788113828,0.007463804274972465,ground-truth
log_simple_20260613_220510.csv,1,75.808,1.3196618134108906,2.4216366079470713,1.918690729068919,2.227681910412032,25,4,1.1656060716193826,1.8195375377716174,0.6781277854916913,228.72772623399518,224.6340620433307,0.01362373782065648,ground-truth
log_simple_20260613_221225.csv,0,nan,1.3196618134108906,0.13894216044407412,1.7736800466726987,1.8431686772471476,0,0,0.11288533319358364,0.26733784631435914,0.8548850386399841,2.1656626825290335,1.076099378241985,nan,ground-truth
log_simple_20260613_221609.csv,0,nan,1.3196618134108906,0.16556690656958498,0.593808727314046,0.6096363953513602,0,1,0.09937753644827915,0.13249189835231437,2.0911115098418667,55.815070910713715,46.16826356674015,0.007299995650014915,ground-truth
log_simple_20260613_222316.csv,1,28.64,1.3196618134108906,1.644085568299836,0.42832643459242076,0.6631097228505661,0,3,0.5060059938366245,1.3352844663411612,1.3875176958940612,39.07835553199397,35.37965575968849,0.00533844692854357,ground-truth
log_simple_20260613_222513.csv,1,16.768,1.3196618134108906,1.2829909633697818,1.0911529276649434,1.510223335526239,0,2,0.9518439632529728,1.8700101422829236,0.05207275836431225,11.531640889989223,11.26259168196163,0.008792131695369701,ground-truth
log_simple_20260613_222529.csv,1,14.4,1.3196618134108906,1.021576458724304,0.25440050533022146,0.5067862856413078,1,1,0.7351965878244111,1.276561590199235,0.16101969612068964,34.6812511509986,28.28482946147222,0.008968078881227425,ground-truth
log_simple_20260613_222551.csv,0,nan,1.3196618134108906,0.13603383142017267,0.3890953984330457,0.4529092764276934,0,0,0.098380056237656,0.1923054051476453,0.005044877192982466,23.52743234907384,20.90931162992938,0.008059583946197376,ground-truth
log_simple_20260613_222622.csv,1,33.984,1.3196618134108906,1.5495252113625666,0.40564411020505625,0.6661201153278531,25,2,1.0609246294636785,1.4075268904358451,0.35930136566676274,79.85537656684143,46.46163003788368,0.007652348978714788,ground-truth
log_simple_20260613_222736.csv,1,31.808,1.3196618134108906,1.470650115851956,0.37852523679070904,0.6326681719969519,17,1,1.0433303017880189,1.4315720590826015,0.2317088004263361,109.41042615870211,61.551707764288615,0.008968735864512627,ground-truth
log_simple_20260613_223043.csv,1,31.808,1.3196618134108906,1.470650115851956,0.37852523679070904,0.6326681719969519,17,1,1.0433303017880189,1.4315720590826015,0.2317088004263361,109.41042615870211,61.551707764288615,0.008968735864512627,ground-truth
log_simple_20260613_223128.csv,1,14.4,1.3196618134108906,0.9926376262741836,0.20410501726950905,0.4529092764276934,1,4,0.7630464320886778,1.518559374615955,0.7231502801724139,32.33244534133399,28.36231326104734,0.008628239698628115,ground-truth
log_simple_20260613_223136.csv,1,14.4,1.3196618134108906,0.9926376262741836,0.20410501726950905,0.4529092764276934,1,4,0.7630464320886778,1.518559374615955,0.7231502801724139,32.33244534133399,28.36231326104734,0.008628239698628115,ground-truth
log_simple_20260613_223652.csv,0,nan,1.3196618134108906,0.016832454071230903,0.44489533762498906,0.4529092764276934,0,0,0.012581485987756913,0.024914936283281956,0.0022000000000000214,1.5793454010932826,0.8533763206275132,nan,ground-truth
log_simple_20260613_223747.csv,0,nan,1.3196618134108906,0.08697786659336429,0.035395772557990667,0.07128520716810745,0,1,0.06127205425436796,0.1137715971629123,0.1034810740740741,39.935499039686505,33.86499556183112,0.008810102015313626,ground-truth
log_simple_20260613_223810.csv,1,60.736,1.3196618134108906,2.518060805555943,0.4863882223590588,1.156386983332137,34,3,0.7117658801136117,2.217372245658811,1.2559977897350096,109.35451022907228,75.6791246787781,0.009840345036433022,ground-truth
log_simple_20260613_223907.csv,1,17.344,1.3196618134108906,1.2116496710808442,0.5316452421589027,1.130710062104782,1,0,1.1075149616528326,2.2316168335744826,1.6520366683711494,28.562182810509334,25.554433736206803,0.00836457605275816,ground-truth
log_simple_20260613_224031.csv,1,17.44,1.3196618134108906,1.2137796437564075,0.530815751975916,1.1286391617563163,1,2,1.106419941075139,2.2295741634513977,1.6460220798110183,29.228981998377385,26.128101510443322,0.008588590806660449,ground-truth
log_simple_20260613_224040.csv,1,17.28,1.3196618134108906,1.2069717939983748,0.5327698489269047,1.1314174557399226,1,0,1.1087175251614763,2.2327221810847853,1.6298616612042953,26.547986448255354,23.943142230834738,0.008324165077237477,ground-truth
log_simple_20260613_230208.csv,1,17.28,1.3196618134108906,1.2069717939983748,0.5327698489269047,1.1314174557399226,1,0,1.1087175251614763,2.2327221810847853,1.6298616612042953,26.547986448255354,23.943142230834738,0.008324165077237477,ground-truth
log_simple_20260613_230413.csv,1,17.28,1.3196618134108906,1.2069717939983748,0.5327698489269047,1.1314174557399226,1,0,1.1087175251614763,2.2327221810847853,1.6298616612042953,26.547986448255354,23.943142230834738,0.008324165077237477,ground-truth
